"EHI_number","sample_code","species","region","sample_type","order","sex","country","latitude","longitude","singlem_fraction","reads_post_fastp","host_reads","reads_lost_fastp_percent","metagenomic_bases","host_bases","bases_lost_fastp_percent","diversity","C","Transect","Sampling_point","Elevation","World_cover_2021_code","World_cover_2021_class","World_cover_2021_quality","Copernicus_cover_2018_code","Copernicus_cover_2018_class","Copernicus_water_2018_code","Copernicus_water_2018_class","Copernicus_tree_cover_2018_code","Copernicus_tree_cover_2018_class","Copernicus_Imperviousness_2018_code","Copernicus_Imperviousness_2018_class","Copernicus_grassland_2018_code","Copernicus_grassland_2018_class","Copernicus_forest_type_2018_code","Copernicus_forest_type_2018_class","Copernicus_dominant_leaf_type_2018_code","Copernicus_dominant_leaf_type_2018_class","Precipitation","Tmin","Tmax","Predicted_Elevation"
"EHI00106","ABM11E1L1I1","Podarcis muralis","Catalunya","Faecal","Squamata","Male","Spain",42.477,0.714563,0.4264,37506206,7844930,0.079599371,3945591141,1058626752,0.181311434367766,17.5655965,0.939897459,"Aran","Villaler1",1000,10,"Tree_cover",126,2,"Discontinous_urban_fabric",1,"Permanent water",67,"67% tree-cover density",NA,"Non-impervious areas",240,"Non built-up",1,"Broadleaved_forest",1,"Broadleaved trees",136.3999939,10,22,985.321895837912
"EHI00128","ABL76E1L1I1","Podarcis muralis","Catalunya","Faecal","Squamata","Male","Spain",42.477,0.714563,0.621,29063244,1029222,0.039541871,4020760812,149336152,0.081267155,19.32492657,0.821160925,"Aran","Villaler1",1000,10,"Tree_cover",126,2,"Discontinous_urban_fabric",1,"Permanent water",67,"67% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",136.3999939,10,22,985.321895837912
"EHI00133","ABL64E1L1I1","Podarcis muralis","Catalunya","Faecal","Squamata","Male","Spain",42.477,0.714563,0.7558,28827762,2886606,0.0194093113480737,3723269437,429506925,0.058274952,16.69892056,0.984448552,"Aran","Villaler1",1000,10,"Tree_cover",126,2,"Discontinous_urban_fabric",1,"Permanent water",67,"67% tree-cover density",NA,"Non-impervious areas",240,"Non built-up",NA,"Outside area",3,"Outside area",136.3999939,10,22,985.321895837912
"EHI00179","ABL72E1L2I1","Podarcis muralis","Catalunya","Faecal","Squamata","Male","Spain",42.477,0.714563,0.5839,23077918,151648,0.0214530579043366,3332819503,23148016,0.051337949,18.83172317,0.823851676,"Aran","Villaler1",1000,10,"Tree_cover",126,21,"Land principally occupied by agriculture with significant areas of natural vegetation",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",136.3999939,10,22,1035.29790704504
"EHI00079","ABL19E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.5058,0.718685,0.467,28540588,18228964,0.034187698,1373801946,2721037061,0.076205463,19.06827829,0.710681265,"Aran","Presa1",1080,10,"Tree_cover",126,21,"Land principally occupied by agriculture with significant areas of natural vegetation",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",141.3999939,9,21,1074.95744185071
"EHI00085","ABL25E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.5058,0.718685,0.5773,18818378,1445814,0.03890208,2494742094,212261834,0.078313819,18.22921235,0.884176555,"Aran","Presa1",1080,10,"Tree_cover",126,21,"Land principally occupied by agriculture with significant areas of natural vegetation",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",240,"Non built-up",1,"Broadleaved_forest",1,"Broadleaved trees",141.3999939,9,21,1074.95744185071
"EHI00104","ABL31E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.5058,0.718685,0.5132,17778760,4207576,0.033377445,1938199010,643701669,0.064155419,18.05272101,0.814733284,"Aran","Presa1",1080,10,"Tree_cover",126,21,"Land principally occupied by agriculture with significant areas of natural vegetation",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",141.3999939,9,21,1074.95744185071
"EHI00107","ABL02E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.5058,0.718685,0.5839,33372668,1212064,0.039000225,4642961628,184257358,0.073302269,18.79000074,0.897511332,"Aran","Presa1",1080,10,"Tree_cover",126,21,"Land principally occupied by agriculture with significant areas of natural vegetation",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",141.3999939,9,21,1074.95744185071
"EHI00108","ABL27E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.5058,0.718685,0.6377,25805812,2618670,0.0361393240391278,3279831890,394171066,0.085160358,17.69628819,0.907617817,"Aran","Presa1",1080,10,"Tree_cover",126,21,"Land principally occupied by agriculture with significant areas of natural vegetation",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",141.3999939,9,21,1074.95744185071
"EHI00114","ABL29E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.5058,0.718685,0.6208,49154450,581288,0.025047679,7062674009,87174427,0.0545771099221802,18.58797946,0.935464686,"Aran","Presa1",1080,10,"Tree_cover",126,21,"Land principally occupied by agriculture with significant areas of natural vegetation",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",2,"Coniferous_forest",2,"Coniferous trees",141.3999939,9,21,1074.95744185071
"EHI00129","ABL33E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.5058,0.718685,0.6574,25735814,1394122,0.036028002,3509154809,212726094,0.070610584,19.13928428,0.819484606,"Aran","Presa1",1080,10,"Tree_cover",126,21,"Land principally occupied by agriculture with significant areas of natural vegetation",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved_forest",141.3999939,9,21,1074.95744185071
"EHI00098","ABJ51E1L1I1","Podarcis muralis","Catalunya","Faecal","Squamata","Male","Spain",42.55591,0.752807,0.5413,34027756,278142,0.0249289079589674,4876970597,40047629,0.06068008496525,19.40804176,0.850008913,"Aran","Senet",1340,30,"Grassland",126,18,"Pastures",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",150,6,19,1339.45727081995
"EHI00125","ABJ59E1L1I1","Podarcis muralis","Catalunya","Faecal","Squamata","Male","Spain",42.55591,0.752807,0.6132,32677836,2139488,0.022512946,4400232740,313488992,0.059994473,18.66009855,0.857922863,"Aran","Senet",1340,30,"Grassland",126,18,"Pastures",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",150,6,19,1339.45727081995
"EHI00130","ABJ53E1L1I1","Podarcis muralis","Catalunya","Faecal","Squamata","Male","Spain",42.55591,0.752807,0.5577,22303770,539022,0.045839124,3132238776,82344877,0.083195366,19.04952609,0.836056793,"Aran","Senet",1340,30,"Grassland",126,18,"Pastures",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",150,6,19,1339.45727081995
"EHI00134","ABJ55E1L1I1","Podarcis muralis","Catalunya","Faecal","Squamata","Male","Spain",42.55591,0.752807,0.5035,55049366,13245770,0.0222141993326965,5894822273,1988142143,0.066552898,19.19249783,0.867757037,"Aran","Senet",1340,30,"Grassland",126,18,"Pastures",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",150,6,19,1339.45727081995
"EHI00177","ABJ49E1L2I1","Podarcis muralis","Catalunya","Faecal","Squamata","Male","Spain",42.55591,0.752807,0.6665,18622518,106596,0.055782525,2686840244,16053624,0.086367868,18.95866836,0.831649266,"Aran","Senet",1340,30,"Grassland",126,18,"Pastures",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",150,6,19,1339.45727081995
"EHI00182","ABJ45E1L2I1","Podarcis muralis","Catalunya","Faecal","Squamata","Male","Spain",42.55591,0.752807,0.0377,26521140,60990,0.03684435,3732583530,13255566,0.093094266,20.04638143,0.69401191,"Aran","Senet",1340,30,"Grassland",126,18,"Pastures",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved_forest",150,6,19,1339.45727081995
"EHI00070","ABL39E1L1I1","Podarcis muralis","Catalunya","Faecal","Squamata","Male","Spain",42.6368,0.755111,0.5319,23656378,6290518,0.025743501,2469728439,937599880,0.0644914,19.1145697,0.791993141,"Aran","Barranc deth Port1",1850,30,"Grassland",126,32,"Sparsely vegetated areas",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",154.6000061,5,17,1857.06845342133
"EHI00074","ABL51E1L1I1","Podarcis muralis","Catalunya","Faecal","Squamata","Male","Spain",42.6368,0.755111,0.5641,52990138,242334,0.024477254,7543261506,34671349,0.069959538,18.63829507,0.884768378,"Aran","Barranc deth Port1",1850,30,"Grassland",126,32,"Sparsely vegetated areas",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",154.6000061,5,17,1857.06845342133
"EHI00077","ABL45E1L1I1","Podarcis muralis","Catalunya","Faecal","Squamata","Male","Spain",42.6368,0.755111,0.6213,16764914,4283760,0.0178276474059913,1783262590,641770627,0.052862989,18.72502315,0.771917511,"Aran","Barranc deth Port1",1850,30,"Grassland",126,32,"Sparsely vegetated areas",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",154.6000061,5,17,1857.06845342133
"EHI00080","ABL37E1L1I1","Podarcis muralis","Catalunya","Faecal","Squamata","Male","Spain",42.6368,0.755111,0.4489,47196770,10724514,0.0412177027214745,5049477727,1605187153,0.098755433,18.92268615,0.826550907,"Aran","Barranc deth Port1",1850,30,"Grassland",126,32,"Sparsely vegetated areas",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",154.6000061,5,17,1857.06845342133
"EHI00118","ABL57E1L1I1","Podarcis muralis","Catalunya","Faecal","Squamata","Male","Spain",42.6368,0.755111,0.6878,37032818,5151656,0.040008608,4605642947,784391517,0.068504286,18.76402809,0.89097104,"Aran","Barranc deth Port1",1850,30,"Grassland",126,32,"Sparsely vegetated areas",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",154.6000061,5,17,1857.06845342133
"EHI00121","ABL53E1L1I1","Podarcis muralis","Catalunya","Faecal","Squamata","Male","Spain",42.6368,0.755111,0.5399,27980368,7851796,0.0255340163560467,2862134850,1196143747,0.05775496,18.5741652,0.788011791,"Aran","Barranc deth Port1",1850,30,"Grassland",126,32,"Sparsely vegetated areas",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",154.6000061,5,17,1857.06845342133
"EHI00073","ABL01E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.5981,0.763111,0.576,17296132,50116,0.0205854426222379,2491173198,7300164,0.056806003,19.22261268,0.777554062,"Aran","Embalse1",1500,30,"Grassland",126,26,"Natural_grassland",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",150.8999939,6,18,1507.33828615091
"EHI00081","ABK88E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.5981,0.763111,0.5253,18098526,4787646,0.045193259,1897409703,727448090,0.076819142,18.72420067,0.786674905,"Aran","Embalse1",1500,30,"Grassland",126,26,"Natural_grassland",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",150.8999939,6,18,1507.33828615091
"EHI00086","ABK90E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.5981,0.763111,0.522,22681308,2767528,0.051211622,2821121298,417593612,0.096802511,18.83583021,0.842366731,"Aran","Embalse1",1500,30,"Grassland",126,26,"Natural_grassland",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",150.8999939,6,18,1507.33828615091
"EHI00100","ABK86E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.5981,0.763111,0.6278,50521058,15761928,0.0246131741650694,4932226498,2398470758,0.056464003,18.56475624,0.893410319,"Aran","Embalse1",1500,30,"Grassland",126,26,"Natural_grassland",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",150.8999939,6,18,1507.33828615091
"EHI00115","ABL03E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.5981,0.763111,0.4415,39639302,405588,0.0574296090351766,5616775080,62352261,0.09971888,16.66335767,0.910689195,"Aran","Embalse1",1500,30,"Grassland",126,26,"Natural_grassland",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",150.8999939,6,18,1507.33828615091
"EHI00131","ABK96E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.5981,0.763111,0.5265,18282490,6239724,0.0305376177593197,1691258432,943415382,0.068610766,19.42826082,0.687926403,"Aran","Embalse1",1500,30,"Grassland",126,26,"Natural_grassland",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",150.8999939,6,18,1507.33828615091
"EHI00069","ABJ89E1L1I1","Podarcis muralis","Catalunya","Faecal","Squamata","Male","Spain",42.62721,0.763644,0.5231,50833530,6240810,0.072641075,6157621999,920532571,0.13915220773752,18.37440479,0.909914525,"Aran","Cram2",1650,50,"Built-up",126,18,"Pastures",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",154.6000061,5,17,1649.99999999992
"EHI00092","ABJ91E1L1I1","Podarcis muralis","Catalunya","Faecal","Squamata","Male","Spain",42.62721,0.763644,0.7396,42256660,1144520,0.0257952281034322,5943716483,170842450,0.060214021,16.10268339,0.966517442,"Aran","Cram2",1650,50,"Built-up",126,18,"Pastures",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",2,"Coniferous_forest",2,"Coniferous trees",154.6000061,5,17,1649.99999999992
"EHI00103","ABJ75E1L1I1","Podarcis muralis","Catalunya","Faecal","Squamata","Male","Spain",42.62721,0.763644,0.5206,19072640,5554712,0.032850931,1910930817,843529516,0.068832371,18.60613548,0.808244921,"Aran","Cram2",1650,50,"Built-up",126,18,"Pastures",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",2,"Coniferous_forest",2,"Coniferous trees",154.6000061,5,17,1649.99999999992
"EHI00110","ABJ73E1L1I1","Podarcis muralis","Catalunya","Faecal","Squamata","Male","Spain",42.62721,0.763644,0.7338,26359898,4064494,0.0426115768611544,3173333843,591747269,0.088351286,16.89629324,0.984009119,"Aran","Cram2",1650,50,"Built-up",126,18,"Pastures",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",154.6000061,5,17,1649.99999999992
"EHI00139","ABJ83E1L1I1","Podarcis muralis","Catalunya","Faecal","Squamata","Male","Spain",42.62721,0.763644,0.574,21611794,226562,0.051697045,3084075255,34225947,0.087814661,18.75110827,0.872822963,"Aran","Cram2",1650,50,"Built-up",126,18,"Pastures",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",154.6000061,5,17,1649.99999999992
"EHI00176","ABJ79E1L2I1","Podarcis muralis","Catalunya","Faecal","Squamata","Male","Spain",42.62721,0.763644,0.608,24893016,662904,0.125773977335671,3466213092,100761385,0.164868328269828,18.66263564,0.873322923,"Aran","Cram2",1650,50,"Built-up",126,18,"Pastures",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",154.6000061,5,17,1649.99999999992
"EHI00181","ABJ71E1L2I1","Podarcis muralis","Catalunya","Faecal","Squamata","Male","Spain",42.62721,0.763644,0.6772,22138954,1979242,0.0284972679034384,2918957521,301399301,0.057894228,17.91876763,0.880661837,"Aran","Cram2",1650,50,"Built-up",126,18,"Pastures",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",154.6000061,5,17,1649.99999999992
"EHI00428","ADL22E1L1I1","Podarcis muralis","Occitanie, Tourmalet","Faecal","Squamata","Male","France",42.82674,0.90279,0.6139,35637222,2437308,0.0308540407888875,4724714178,354862015,0.079080717,19.14237787,0.860889982,"Tourmalet","E",1873,30,"Grassland",126,32,"Sparsely vegetated areas",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",80.59999847,6,20,1982.41009268069
"EHI00464","ADL33E1L1I1","Podarcis muralis","Occitanie, Tourmalet","Faecal","Squamata","Male","France",42.82674,0.90279,0.654,52497462,6500976,0.0307691932762926,6602081481,962080506,0.068981173,19.08464789,0.89649548,"Tourmalet","E",1873,30,"Grassland",126,32,"Sparsely vegetated areas",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",2,"Coniferous_forest",2,"Coniferous trees",80.59999847,6,20,1982.41009268069
"EHI00493","ADM19E1L1I1","Podarcis muralis","Occitanie, Tourmalet","Faecal","Squamata","Male","France",42.82674,0.90279,0.385,49993988,13350336,0.0159855831638034,5187948781,2030328521,0.05283425547228,19.28673226,0.801116998,"Tourmalet","E",1873,30,"Grassland",126,32,"Sparsely vegetated areas",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",80.59999847,6,20,1982.41009268069
"EHI00527","ADM14E1L1I1","Podarcis muralis","Occitanie, Tourmalet","Faecal","Squamata","Male","France",42.82674,0.90279,0.6355,69673338,851198,0.0151705378019428,9921467821,128178226,0.052991403,18.9434257,0.942545149,"Tourmalet","E",1873,30,"Grassland",126,32,"Sparsely vegetated areas",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",80.59999847,6,20,1982.41009268069
"EHI00569","ADM16E1L1I1","Podarcis muralis","Occitanie, Tourmalet","Faecal","Squamata","Male","France",42.82674,0.90279,0.542,67441334,1140448,0.0204951241112992,9471963516,169999886,0.066413271,18.95144901,0.911399255,"Tourmalet","E",1873,30,"Grassland",126,32,"Sparsely vegetated areas",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",80.59999847,6,20,1982.41009268069
"EHI00472","ADL76E1L1I1","Podarcis muralis","Occitanie, Tourmalet","Faecal","Squamata","Male","France",42.82719,0.91256,0.5308,39675888,3902074,0.028984250929817,5180645164,586418138,0.059057516,19.06123157,0.892800558,"Tourmalet","D",1628,10,"Tree_cover",123,23,"Broad-leaved_forest",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",80.59999847,6,20,1629.03771231209
"EHI00483","ADL72E1L1I1","Podarcis muralis","Occitanie, Tourmalet","Faecal","Squamata","Male","France",42.82719,0.91256,0.7073,49622688,10131386,0.01960901,5605592315,1532171008,0.059865674,18.73683235,0.909305812,"Tourmalet","D",1628,10,"Tree_cover",123,23,"Broad-leaved_forest",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",80.59999847,6,20,1629.03771231209
"EHI00512","ADL74E1L1I1","Podarcis muralis","Occitanie, Tourmalet","Faecal","Squamata","Male","France",42.82719,0.91256,0.5466,69495968,53880904,0.02000731,1939729480,8067540048,0.059221106,19.1817389,0.73560747,"Tourmalet","D",1628,10,"Tree_cover",123,23,"Broad-leaved_forest",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",80.59999847,6,20,1629.03771231209
"EHI00538","ADL62E1L1I1","Podarcis muralis","Occitanie, Tourmalet","Faecal","Squamata","Male","France",42.82719,0.91256,0.691,44840214,17798878,0.024080885,3803463099,2638414328,0.065310539,18.73797183,0.8490714,"Tourmalet","D",1628,10,"Tree_cover",123,23,"Broad-leaved_forest",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",80.59999847,6,20,1629.03771231209
"EHI00567","ADL70E1L1I1","Podarcis muralis","Occitanie, Tourmalet","Faecal","Squamata","Male","France",42.82719,0.91256,0.5399,45434172,914534,0.0181787723853809,6351791723,133011864,0.065766648,18.98231032,0.906649162,"Tourmalet","D",1628,10,"Tree_cover",123,23,"Broad-leaved_forest",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",80.59999847,6,20,1629.03771231209
"EHI00451","ADL90E1L1I1","Podarcis muralis","Occitanie, Tourmalet","Faecal","Squamata","Male","France",42.82317,0.91661,0.664,46270528,2196566,0.022380946,6310930301,318898071,0.066151922,19.18638697,0.890314915,"Tourmalet","C",1260,10,"Tree_cover",93,23,"Broad-leaved_forest",1,"Permanent water",74,"74% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",80.59999847,6,20,1279.90592208283
"EHI00465","ADL59E1L1I1","Podarcis muralis","Occitanie, Tourmalet","Faecal","Squamata","Male","France",42.82317,0.91661,0.6243,15180448,305622,0.0152941452726497,2135049197,41795770,0.0586347281104986,18.33271561,0.87328589,"Tourmalet","C",1260,10,"Tree_cover",93,23,"Broad-leaved_forest",1,"Permanent water",74,"74% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",80.59999847,6,20,1279.90592208283
"EHI00473","ADL98E1L1I1","Podarcis muralis","Occitanie, Tourmalet","Faecal","Squamata","Male","France",42.82317,0.91661,0.6118,45497636,3209886,0.027011604,6052535434,477433785,0.069023531,18.25982585,0.88090236,"Tourmalet","C",1260,10,"Tree_cover",93,23,"Broad-leaved_forest",1,"Permanent water",74,"74% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",80.59999847,6,20,1279.90592208283
"EHI00518","ADL63E1L1I1","Podarcis muralis","Occitanie, Tourmalet","Faecal","Squamata","Male","France",42.82317,0.91661,0.7109,47580686,83244,0.018384255,6850199458,12341521,0.0561466787303123,18.63517296,0.931241601,"Tourmalet","C",1260,10,"Tree_cover",93,23,"Broad-leaved_forest",1,"Permanent water",74,"74% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",80.59999847,6,20,1279.90592208283
"EHI00467","ADL30E1L1I1","Podarcis muralis","Occitanie, Tourmalet","Faecal","Squamata","Male","France",42.83628,0.93699,0.5613,43822434,5793034,0.017049454021711,5403515999,854761759,0.064166155,18.83336525,0.907848435,"Tourmalet","B",941,10,"Tree_cover",93,18,"Pastures",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",77.69999695,11,23,815.093775392885
"EHI00470","ADM03E1L1I1","Podarcis muralis","Occitanie, Tourmalet","Faecal","Squamata","Male","France",42.83628,0.93699,0.6639,81223572,11310490,0.016933252,10051614325,1679223689,0.053460591,18.78130939,0.951503512,"Tourmalet","B",941,10,"Tree_cover",93,18,"Pastures",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",77.69999695,11,23,815.093775392885
"EHI00488","ADL26E1L1I1","Podarcis muralis","Occitanie, Tourmalet","Faecal","Squamata","Male","France",42.83628,0.93699,0.5572,59862660,14556564,0.0187411135760789,6448219085,2212642337,0.053550551,18.82769006,0.87941287,"Tourmalet","B",941,10,"Tree_cover",93,18,"Pastures",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",77.69999695,11,23,815.093775392885
"EHI00499","ADL93E1L1I1","Podarcis muralis","Occitanie, Tourmalet","Faecal","Squamata","Male","France",42.83628,0.93699,0.3243,71901954,17658172,0.127149857061623,6637493901,2204637514,0.284409278644207,18.66406078,0.81941941,"Tourmalet","B",941,10,"Tree_cover",93,18,"Pastures",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",77.69999695,11,23,815.093775392885
"EHI00547","ADL34E1L1I1","Podarcis muralis","Occitanie, Tourmalet","Faecal","Squamata","Male","France",42.83628,0.93699,0.4811,110458006,17784798,0.0195807791617231,13228704611,2648359289,0.060506994,19.73246323,0.861854088,"Tourmalet","B",941,10,"Tree_cover",93,18,"Pastures",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",77.69999695,11,23,815.093775392885
